Group,Site,Lat,Long
1,1,29.421818,-89.782885
1,2,29.423273,-89.806461
1,3,29.437817,-89.799138
1,4,29.443945,-89.795628
1,5,29.448286,-89.792234
1,6,29.452537,-89.796145
1,7,29.452814,-89.793075
1,8,29.438574,-89.769195
1,9,29.442135,-89.764337
1,10,29.439249,-89.764865
1,11,29.436876,-89.763854
1,12,29.434534,-89.763474
1,13,29.429656,-89.764757
1,14,29,-89
1,15,29.432188,-89.776502
2,1,29.419481,-89.794268
2,2,29,-89
2,3,29.416216,-89.793758
2,4,29.420005,-89.784225
2,5,29,-89
2,6,29.41875,-89.768655
2,7,29,-89
2,8,29.420354,-89.758432
2,9,29.42841,-89.772889
2,10,29,-89
2,11,29,-89
2,12,29.443569,-89.73476
2,13,29.442328,-89.744032
2,14,29.450697,-89.749638
2,15,29,-89
3,1,29.418144,-89.806607
3,2,29,-89
3,3,29,-89
3,4,29.413344,-89.804149
3,5,29.414034,-89.800831
3,6,29.417081,-89.802239
3,7,29.413578,-89.79725
3,8,29,-89
3,9,29,-89
3,10,29.424613,-89.782512
3,11,29,-89
3,12,29.423474,-89.780561
3,13,29.420855,-89.777316
3,14,29,-89
3,15,29.43316,-89.744807
